,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
1196,Centre,Median age at first sexual intercourse [Women]: 35-39,17.9,2016-17,Median age at first sexual intercourse [Women], 35-39,Women,2016,Median age at first sexual intercourse 
1197,South,Median age at first sexual intercourse [Women]: 35-39,17.0,2016-17,Median age at first sexual intercourse [Women], 35-39,Women,2016,Median age at first sexual intercourse 
1198,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 35-39,16.9,2016-17,Median age at first sexual intercourse [Women], 35-39,Women,2016,Median age at first sexual intercourse 
1199,Grande-Anse,Median age at first sexual intercourse [Women]: 35-39,17.1,2016-17,Median age at first sexual intercourse [Women], 35-39,Women,2016,Median age at first sexual intercourse 
1200,Nippes,Median age at first sexual intercourse [Women]: 35-39,16.7,2016-17,Median age at first sexual intercourse [Women], 35-39,Women,2016,Median age at first sexual intercourse 
1201,North-West,Median age at first sexual intercourse [Women]: 35-39,17.2,2016-17,Median age at first sexual intercourse [Women], 35-39,Women,2016,Median age at first sexual intercourse 
1202,Metropolitan area,Median age at first sexual intercourse [Women]: 40-44,18.1,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1203,Rest of West,Median age at first sexual intercourse [Women]: 40-44,17.6,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1204,South-East,Median age at first sexual intercourse [Women]: 40-44,18.4,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1205,North,Median age at first sexual intercourse [Women]: 40-44,17.7,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1206,North-East,Median age at first sexual intercourse [Women]: 40-44,18.0,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1207,Artibonite,Median age at first sexual intercourse [Women]: 40-44,17.4,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1208,Centre,Median age at first sexual intercourse [Women]: 40-44,17.4,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1209,South,Median age at first sexual intercourse [Women]: 40-44,17.8,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1210,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 40-44,17.0,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1211,Grande-Anse,Median age at first sexual intercourse [Women]: 40-44,17.1,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1212,Nippes,Median age at first sexual intercourse [Women]: 40-44,16.9,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1213,North-West,Median age at first sexual intercourse [Women]: 40-44,16.7,2016-17,Median age at first sexual intercourse [Women], 40-44,Women,2016,Median age at first sexual intercourse 
1214,Metropolitan area,Median age at first sexual intercourse [Women]: 45-49,18.0,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1215,Rest of West,Median age at first sexual intercourse [Women]: 45-49,18.2,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1216,South-East,Median age at first sexual intercourse [Women]: 45-49,17.6,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1217,North,Median age at first sexual intercourse [Women]: 45-49,18.2,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1218,North-East,Median age at first sexual intercourse [Women]: 45-49,18.5,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1219,Artibonite,Median age at first sexual intercourse [Women]: 45-49,17.7,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1220,Centre,Median age at first sexual intercourse [Women]: 45-49,18.1,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1221,South,Median age at first sexual intercourse [Women]: 45-49,18.5,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1222,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 45-49,17.7,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1223,Grande-Anse,Median age at first sexual intercourse [Women]: 45-49,17.4,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1224,Nippes,Median age at first sexual intercourse [Women]: 45-49,18.2,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1225,North-West,Median age at first sexual intercourse [Women]: 45-49,17.0,2016-17,Median age at first sexual intercourse [Women], 45-49,Women,2016,Median age at first sexual intercourse 
1226,Metropolitan area,Median age at first sexual intercourse [Women]: 20-49,18.1,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1227,Rest of West,Median age at first sexual intercourse [Women]: 20-49,17.5,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1228,South-East,Median age at first sexual intercourse [Women]: 20-49,17.9,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1229,North,Median age at first sexual intercourse [Women]: 20-49,17.7,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1230,North-East,Median age at first sexual intercourse [Women]: 20-49,17.7,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1231,Artibonite,Median age at first sexual intercourse [Women]: 20-49,17.3,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1232,Centre,Median age at first sexual intercourse [Women]: 20-49,17.8,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1233,South,Median age at first sexual intercourse [Women]: 20-49,17.6,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1234,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 20-49,17.4,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1235,Grande-Anse,Median age at first sexual intercourse [Women]: 20-49,17.5,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1236,Nippes,Median age at first sexual intercourse [Women]: 20-49,17.2,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1237,North-West,Median age at first sexual intercourse [Women]: 20-49,17.4,2016-17,Median age at first sexual intercourse [Women], 20-49,Women,2016,Median age at first sexual intercourse 
1238,Metropolitan area,Median age at first sexual intercourse [Women]: 25-49,18.1,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1239,Rest of West,Median age at first sexual intercourse [Women]: 25-49,17.6,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1240,South-East,Median age at first sexual intercourse [Women]: 25-49,18.0,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1241,North,Median age at first sexual intercourse [Women]: 25-49,17.9,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1242,North-East,Median age at first sexual intercourse [Women]: 25-49,17.8,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1243,Artibonite,Median age at first sexual intercourse [Women]: 25-49,17.3,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1244,Centre,Median age at first sexual intercourse [Women]: 25-49,17.9,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1245,South,Median age at first sexual intercourse [Women]: 25-49,17.5,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1246,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 25-49,17.3,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1247,Grande-Anse,Median age at first sexual intercourse [Women]: 25-49,17.4,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1248,Nippes,Median age at first sexual intercourse [Women]: 25-49,17.2,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1249,North-West,Median age at first sexual intercourse [Women]: 25-49,17.2,2016-17,Median age at first sexual intercourse [Women], 25-49,Women,2016,Median age at first sexual intercourse 
1250,Metropolitan area,Median age at first sexual intercourse [Men]: 20-24,15.0,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1251,Rest of West,Median age at first sexual intercourse [Men]: 20-24,15.3,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1252,South-East,Median age at first sexual intercourse [Men]: 20-24,15.5,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1253,North,Median age at first sexual intercourse [Men]: 20-24,15.1,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1254,North-East,Median age at first sexual intercourse [Men]: 20-24,15.5,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1255,Artibonite,Median age at first sexual intercourse [Men]: 20-24,15.8,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1256,Centre,Median age at first sexual intercourse [Men]: 20-24,15.6,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1257,South,Median age at first sexual intercourse [Men]: 20-24,15.9,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1258,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 20-24,15.7,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1259,Grande-Anse,Median age at first sexual intercourse [Men]: 20-24,15.7,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1260,Nippes,Median age at first sexual intercourse [Men]: 20-24,15.7,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1261,North-West,Median age at first sexual intercourse [Men]: 20-24,15.4,2016-17,Median age at first sexual intercourse [Men], 20-24,Men,2016,Median age at first sexual intercourse 
1262,Metropolitan area,Median age at first sexual intercourse [Men]: 25-29,15.4,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1263,Rest of West,Median age at first sexual intercourse [Men]: 25-29,15.9,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1264,South-East,Median age at first sexual intercourse [Men]: 25-29,15.8,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1265,North,Median age at first sexual intercourse [Men]: 25-29,15.2,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1266,North-East,Median age at first sexual intercourse [Men]: 25-29,14.9,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1267,Artibonite,Median age at first sexual intercourse [Men]: 25-29,15.5,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1268,Centre,Median age at first sexual intercourse [Men]: 25-29,16.1,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1269,South,Median age at first sexual intercourse [Men]: 25-29,15.6,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1270,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 25-29,15.8,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1271,Grande-Anse,Median age at first sexual intercourse [Men]: 25-29,16.0,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1272,Nippes,Median age at first sexual intercourse [Men]: 25-29,15.7,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1273,North-West,Median age at first sexual intercourse [Men]: 25-29,16.1,2016-17,Median age at first sexual intercourse [Men], 25-29,Men,2016,Median age at first sexual intercourse 
1274,Metropolitan area,Median age at first sexual intercourse [Men]: 30-34,15.0,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1275,Rest of West,Median age at first sexual intercourse [Men]: 30-34,15.6,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1276,South-East,Median age at first sexual intercourse [Men]: 30-34,15.7,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1277,North,Median age at first sexual intercourse [Men]: 30-34,15.2,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1278,North-East,Median age at first sexual intercourse [Men]: 30-34,15.6,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1279,Artibonite,Median age at first sexual intercourse [Men]: 30-34,16.0,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1280,Centre,Median age at first sexual intercourse [Men]: 30-34,16.2,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1281,South,Median age at first sexual intercourse [Men]: 30-34,15.9,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1282,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 30-34,16.1,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1283,Grande-Anse,Median age at first sexual intercourse [Men]: 30-34,16.6,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1284,Nippes,Median age at first sexual intercourse [Men]: 30-34,15.8,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1285,North-West,Median age at first sexual intercourse [Men]: 30-34,15.1,2016-17,Median age at first sexual intercourse [Men], 30-34,Men,2016,Median age at first sexual intercourse 
1286,Metropolitan area,Median age at first sexual intercourse [Men]: 35-39,16.0,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1287,Rest of West,Median age at first sexual intercourse [Men]: 35-39,15.5,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1288,South-East,Median age at first sexual intercourse [Men]: 35-39,15.9,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1289,North,Median age at first sexual intercourse [Men]: 35-39,15.9,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1290,North-East,Median age at first sexual intercourse [Men]: 35-39,16.9,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1291,Artibonite,Median age at first sexual intercourse [Men]: 35-39,15.9,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1292,Centre,Median age at first sexual intercourse [Men]: 35-39,17.1,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1293,South,Median age at first sexual intercourse [Men]: 35-39,16.0,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1294,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 35-39,16.1,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1295,Grande-Anse,Median age at first sexual intercourse [Men]: 35-39,16.8,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1296,Nippes,Median age at first sexual intercourse [Men]: 35-39,15.3,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1297,North-West,Median age at first sexual intercourse [Men]: 35-39,15.8,2016-17,Median age at first sexual intercourse [Men], 35-39,Men,2016,Median age at first sexual intercourse 
1298,Metropolitan area,Median age at first sexual intercourse [Men]: 40-44,15.7,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1299,Rest of West,Median age at first sexual intercourse [Men]: 40-44,15.9,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1300,South-East,Median age at first sexual intercourse [Men]: 40-44,16.3,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1301,North,Median age at first sexual intercourse [Men]: 40-44,15.8,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1302,North-East,Median age at first sexual intercourse [Men]: 40-44,15.9,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1303,Artibonite,Median age at first sexual intercourse [Men]: 40-44,16.4,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1304,Centre,Median age at first sexual intercourse [Men]: 40-44,15.9,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1305,South,Median age at first sexual intercourse [Men]: 40-44,15.7,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1306,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 40-44,16.6,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1307,Grande-Anse,Median age at first sexual intercourse [Men]: 40-44,16.5,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1308,Nippes,Median age at first sexual intercourse [Men]: 40-44,16.6,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1309,North-West,Median age at first sexual intercourse [Men]: 40-44,15.9,2016-17,Median age at first sexual intercourse [Men], 40-44,Men,2016,Median age at first sexual intercourse 
1310,Metropolitan area,Median age at first sexual intercourse [Men]: 45-49,16.1,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1311,Rest of West,Median age at first sexual intercourse [Men]: 45-49,16.0,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1312,South-East,Median age at first sexual intercourse [Men]: 45-49,15.9,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1313,North,Median age at first sexual intercourse [Men]: 45-49,16.4,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1314,North-East,Median age at first sexual intercourse [Men]: 45-49,16.2,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1315,Artibonite,Median age at first sexual intercourse [Men]: 45-49,16.5,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1316,Centre,Median age at first sexual intercourse [Men]: 45-49,17.2,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1317,South,Median age at first sexual intercourse [Men]: 45-49,17.1,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1318,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 45-49,16.2,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1319,Grande-Anse,Median age at first sexual intercourse [Men]: 45-49,15.8,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1320,Nippes,Median age at first sexual intercourse [Men]: 45-49,16.8,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1321,North-West,Median age at first sexual intercourse [Men]: 45-49,16.7,2016-17,Median age at first sexual intercourse [Men], 45-49,Men,2016,Median age at first sexual intercourse 
1322,Metropolitan area,Median age at first sexual intercourse [Men]: 50-54,17.6,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1323,Rest of West,Median age at first sexual intercourse [Men]: 50-54,17.2,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1324,South-East,Median age at first sexual intercourse [Men]: 50-54,16.8,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1325,North,Median age at first sexual intercourse [Men]: 50-54,17.9,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1326,North-East,Median age at first sexual intercourse [Men]: 50-54,17.2,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1327,Artibonite,Median age at first sexual intercourse [Men]: 50-54,17.1,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1328,Centre,Median age at first sexual intercourse [Men]: 50-54,17.2,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1329,South,Median age at first sexual intercourse [Men]: 50-54,17.4,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1330,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 50-54,16.6,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1331,Grande-Anse,Median age at first sexual intercourse [Men]: 50-54,16.4,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1332,Nippes,Median age at first sexual intercourse [Men]: 50-54,16.9,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1333,North-West,Median age at first sexual intercourse [Men]: 50-54,17.1,2016-17,Median age at first sexual intercourse [Men], 50-54,Men,2016,Median age at first sexual intercourse 
1334,Metropolitan area,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.6,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1335,Rest of West,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.8,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1336,South-East,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.9,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1337,North,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.8,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1338,North-East,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.9,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1339,Artibonite,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.0,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1340,Centre,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.4,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1341,South,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.1,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1342,Grande-Anse/Nippes,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.2,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1343,Grande-Anse,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.2,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1344,Nippes,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.1,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1345,North-West,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.9,2016-17,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2016,Median age at first sexual intercourse 
1346,Metropolitan area,"Median age at first sexual intercourse [Men]: 25-49(54,59)",15.7,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1347,Rest of West,"Median age at first sexual intercourse [Men]: 25-49(54,59)",15.9,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1348,South-East,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.1,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1349,North,"Median age at first sexual intercourse [Men]: 25-49(54,59)",15.9,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1350,North-East,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.2,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1351,Artibonite,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.1,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1352,Centre,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.8,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1353,South,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.2,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1354,Grande-Anse/Nippes,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.3,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1355,Grande-Anse,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.4,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1356,Nippes,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.2,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1357,North-West,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.0,2016-17,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2016,Median age at first sexual intercourse 
1358,Metropolitan area,Recent sexual activity: Active in last 4 weeks,43.8,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1359,Rest of West,Recent sexual activity: Active in last 4 weeks,46.7,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1360,South-East,Recent sexual activity: Active in last 4 weeks,42.6,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1361,North,Recent sexual activity: Active in last 4 weeks,48.0,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1362,North-East,Recent sexual activity: Active in last 4 weeks,49.3,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1363,Artibonite,Recent sexual activity: Active in last 4 weeks,45.5,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1364,Centre,Recent sexual activity: Active in last 4 weeks,49.6,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1365,South,Recent sexual activity: Active in last 4 weeks,43.9,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
